SampleID,Date emerged,Date collected,Age at removal
LF_150_R2,10/02/2017,23/03/2017,41
LF_150_R3,16/02/2017,15/03/2017,27
LF_154_R2,13/02/2017,15/03/2017,30
LF_154_R3,19/02/2017,22/03/2017,31
LF_158_R2,11/02/2017,15/03/2017,32
LF_158_R3,16/02/2017,22/03/2017,34
LF_158_R4,22/02/2017,22/03/2017,28
LF_158_R5,26/02/2017,22/03/2017,24
LF_159_R2,16/02/2017,15/03/2017,27
LF_159_R3,20/02/2017,23/03/2017,31
LF_162_R3,20/02/2017,15/03/2017,23
LF_162_R4,27/02/2017,22/03/2017,23
LF_163_R2,12/02/2017,15/03/2017,31
LF_163_R3,16/02/2017,22/03/2017,34
LF_163_R4,22/02/2017,22/03/2017,28
LF_165_R2,12/02/2017,23/03/2017,39
LF_165_R3,17/02/2017,15/03/2017,26
LF_165_R4,21/02/2017,23/03/2017,30
LF_165_R5,28/02/2017,23/03/2017,23
LF_168_R2,11/02/2017,15/03/2017,32
LF_168_R4,23/02/2017,23/03/2017,28
LF_168_R5,27/02/2017,23/03/2017,24
LF_169_R2,16/02/2017,15/03/2017,27
LF_169_R3,19/02/2017,22/03/2017,31
LF_169_R4,24/02/2017,22/03/2017,26
LF_171_R2,12/02/2017,15/03/2017,31
LF_171_R4,22/02/2017,22/03/2017,28
LF_176_R2,15/02/2017,15/03/2017,28
LF_176_R3,21/02/2017,22/03/2017,29
LF_177_R2,15/02/2017,22/03/2017,35
LF_177_R4,25/02/2017,22/03/2017,25
LF_178_R2,12/02/2017,22/03/2017,38
LF_178_R3,17/02/2017,15/03/2017,26
LF_181_R2,12/02/2017,15/03/2017,31
LF_181_R3,19/02/2017,22/03/2017,31
LF_185_R2,11/02/2017,22/03/2017,39
LF_185_R3,19/02/2017,15/03/2017,24
LF_185_R4,26/02/2017,22/03/2017,24
LF_185_R5,01/03/2017,22/03/2017,21
LF_186_R2,13/02/2017,23/03/2017,38
LF_186_R4,23/02/2017,23/03/2017,28
LF_186_R5,02/03/2017,23/03/2017,21
LF_188_R2,16/02/2017,15/03/2017,27
LF_188_R3,20/02/2017,22/03/2017,30
LF_189_R2,15/02/2017,15/03/2017,28
LF_189_R3,19/02/2017,22/03/2017,31
LF_189_R4,25/02/2017,22/03/2017,25
LF_190_R2,12/02/2017,22/03/2017,38
LF_190_R3,17/02/2017,15/03/2017,26
LF_193_R2,11/02/2017,22/03/2017,39
LF_193_R3,20/02/2017,15/03/2017,23
LF_195_R2,15/02/2017,15/03/2017,28
LF_195_R3,18/02/2017,22/03/2017,32
LF_195_R4,24/02/2017,22/03/2017,26
LF_200_R2,12/02/2017,15/03/2017,31
LF_200_R3,19/02/2017,22/03/2017,31
LF_202_R2,13/02/2017,23/03/2017,38
LF_202_R3,18/02/2017,15/03/2017,25
LF_202_R4,22/02/2017,22/03/2017,28
LF_202_R5,27/02/2017,23/03/2017,24
LF_207_R2,11/02/2017,15/03/2017,32
LF_207_R4,25/02/2017,23/03/2017,26
LF_208_R4,23/02/2017,23/03/2017,28
LF_209_R2,12/02/2017,15/03/2017,31
LF_209_R3,18/02/2017,23/03/2017,33
LF_209_R4,24/02/2017,23/03/2017,27
LF_210_R3,20/02/2017,22/03/2017,30
