"GO.ID","Ontology","Term","result"
"GO:0006364","BP","rRNA processing","0.0022"
"GO:0006418","BP","tRNA aminoacylation for protein translat...","0.0033"
"GO:0006120","BP","mitochondrial electron transport, NADH t...","0.017"
"GO:0045746","BP","negative regulation of Notch signaling p...","0.019"
"GO:0098693","BP","regulation of synaptic vesicle cycle","0.028"
"GO:0042273","BP","ribosomal large subunit biogenesis","0.034"
"GO:0008654","BP","phospholipid biosynthetic process","0.034"
"GO:0007265","BP","Ras protein signal transduction","0.034"
"GO:0006891","BP","intra-Golgi vesicle-mediated transport","0.035"
"GO:0016485","BP","protein processing","0.041"
"GO:0016079","BP","synaptic vesicle exocytosis","0.042"
"GO:0048137","BP","spermatocyte division","0.042"
"GO:0046669","BP","regulation of compound eye retinal cell ...","0.042"
"GO:0014019","BP","neuroblast development","0.042"
"GO:0007169","BP","transmembrane receptor protein tyrosine ...","0.043"
"GO:0022625","CC","cytosolic large ribosomal subunit","0.0032"
"GO:0005776","CC","autophagosome","0.012"
"GO:0031985","CC","Golgi cisterna","0.017"
"GO:0005759","CC","mitochondrial matrix","0.018"
"GO:0005747","CC","mitochondrial respiratory chain complex ...","0.021"
"GO:0030496","CC","midbody","0.029"
"GO:0005623","CC","cell","0.032"
"GO:0005685","CC","U1 snRNP","0.034"
"GO:0030687","CC","preribosome, large subunit precursor","0.049"
"GO:0004812","MF","aminoacyl-tRNA ligase activity","0.0041"
"GO:0099094","MF","ligand-gated cation channel activity","0.021"
"GO:0031369","MF","translation initiation factor binding","0.028"
"GO:0003743","MF","translation initiation factor activity","0.035"
"GO:0019843","MF","rRNA binding","0.041"
"GO:0008374","MF","O-acyltransferase activity","0.043"
"GO:0016887","MF","ATPase activity","0.043"
"GO:0017137","MF","Rab GTPase binding","0.048"
